,,Consumables,,
Name,Design or Manufacturer,Specs,,Quantity
Photocopy Papers,,,,3
Wood Screws,,,,1
Concrete Nails,,,,9 (pcs)
Tape Cassette,Brother,,,1
Wiper Replacement Kit,Lulzbot,,,1
Filaments,Esun (Blue),3mm,ABS,4
,Esun (Light blue),3mm,ABS,1
,Esun (Light blue),3mm,PLA,
,Esun (Glass light blue),3mm,PLA,1
,Esun (Orange),3mm,ABS,1
,Esun (Green),3mm,PETG,1
,Esun (Luminous blue),3mm,PLA,1
,Esun (White),3mm,ABS,1
,Smartfil (Black),1.75mm,PLA,1
,Bioflex (Lemon),1.75mm,Bioflex,1
,Bioflex (Fire Red),1.75mm,Bioflex,1
,Bioflex (Light Green),1.75mm,Bioflex,1
,Bioflex (Sky Blue),1.75mm,Bioflex,1
,Kingroon (Clear/transparent white),1.75mm,PLA,3
,Kingroon (Bright red),1.75mm,PLA,4
,Kingroon (White),1.75mm,ABS,3
,Kingroon (White),1.75mm,PETG,10
,Kingroon (Blue),1.75mm,PLA,3
,Kingroon (Black),1.75mm,PLA,10
,Kingroon (Black),1.75mm,ABS,3
,Kingroon (Silver),1.75mm,ABS,1
,Kingroon (wooden),1.75mm,ABS,2
Printer Ink,BT 5000 (Cyna),,,2
,BT 5000 (Magneta),,,2
,BT 5000 (Yellow),,,2
Sand Paper,,,,2
Steel Nails,, 3 inch,,2 boxes (0.6  kg)
,,2.5 inch,,2 boxes (0.6  kg)
,,2 inches,,1 box (1kg)
MDF Screws,,2 inches,,2 boxes (200 pieces)
Self Taping Screws,,3.9*25,,1 box (200 pcs)
,,3.9*32,,1 box (250 pcs)
,,3.9*41,,1 box (250 pcs)
Radial Electrolytic Capasitors,,25V- 2200uF,,6
,,16v-330uF,,10
,,25v-1000uF,,14
,,10v-1000uF,,15
,,16v-1000uF,,14
Ceramic Capasitors,,22pF,,50
Kinesiology Tape,,,,4
Knee Support,,M,,2pcs
,,F,,2pcs
DC Motor,,12v-108rpm,,3
,,12v-250rpm,,4
,,12v-200rpm,,4
OLED,,128*32 (blue),,30
 Development Board,STM32,Blackpill,,1
,,F401CCU6,,3
Peristaltic Pump,Grothen,Large,,2
Mini-USB 5pin Female Connector,,,,10
USB type B female  connector,,,,10
Audio Amplifier Module,,LM386,,2
USB Mini DEV Board,,ATtiny85,,4
